samplenumber,waterbodyname,beachname,beachaccessnumber,collectiondate,parameters,cellcount
M121807,Baptiste Lake,Baptiste Lake Public Beach,8830387,13-Aug-12,Oscillatoria (Vaucher ex Gomont),3514
M121807,Baptiste Lake,Baptiste Lake Public Beach,8830387,13-Aug-12,Phormidium (Kützing ex Gomont),32136
M121807,Baptiste Lake,Baptiste Lake Public Beach,8830387,13-Aug-12,Total cyanobacterial cell count,35650
M121817,Baptiste Lake,Baptiste Lake Public Beach,8830387,27-Aug-12,Cyanobium (Rippka et Cohen-Bazire),1873440
M121817,Baptiste Lake,Baptiste Lake Public Beach,8830387,27-Aug-12,Total cyanobacterial cell count,1873440
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),45480
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Chroococcus minutus (Kützing) Nägeli,25516
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Gomphosphaeria (Kützing),1986
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Microcystis aeruginosa (Kützing) Kützing,165521
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Pseudanabaena (Lauterborn),4635
M121827,Baptiste Lake,Baptiste Lake Public Beach,8830387,10-Sep-12,Total cyanobacterial cell count,243138
M121816,Calling Lake,Calling Lake Provincial Park,9050004,27-Aug-12,Total cyanobacterial cell count,0
M121826,Calling Lake,Calling Lake Provincial Park,9050004,10-Sep-12,Anabaena (Bory de Saint-Vincent ex Bornet et Flahault),2903
M121826,Calling Lake,Calling Lake Provincial Park,9050004,10-Sep-12,Microcystis aeruginosa (Kützing) Kützing,331042
M121826,Calling Lake,Calling Lake Provincial Park,9050004,10-Sep-12,Total cyanobacterial cell count,333945
M121501,Isle Lake,Gainford Beach,9602751,5-Jul-12,Anabaena (Bory de Saint-Vincent ex Bornet et Flahault),63407
