WaterbodyName,CollectionYear,CellCount
"Alix Lake",21,372078
"Alix Lake",23,742330
"Alix Lake",24,225504
"Astotin Lake",21,36631
"Astotin Lake",22,100659
"Astotin Lake",23,32364474
"Astotin Lake",24,106314
"Baptiste Lake",21,25385
"Baptiste Lake",22,0
"Baptiste Lake",23,367
"Baptiste Lake",24,0
"Bear Lake",19,55209
"Beaver Lake",23,25029
"Bonnie Lake",21,2326
"Bonnie Lake",23,18000
"Bonnie Lake",24,7182
"Buck Lake",21,3171342
"Buck Lake",22,0
"Buck Lake",23,68670
"Buck Lake",24,5690
"Buffalo Lake",21,54989
"Buffalo Lake",24,566
"Calling Lake",20,1844
"Calling Lake",21,9166
"Calling Lake",22,2949
"Calling Lake",23,4270
"Calling Lake",24,6983
"Camp Lake",22,264917
"Chestermere Lake",20,0
"Chestermere Lake",21,0
"Clear Lake",23,348000
"Cold Lake",20,1721
"Cold Lake",21,2797
"Cold Lake",22,0
"Cold Lake",23,2684
"Devil's Lake (Matchayaw Lake)",20,10298
"Devil's Lake (Matchayaw Lake)",23,11604
"Devil's Lake (Matchayaw Lake)",24,2863
"Enchant Municipal Lake",23,237577
"Floatingstone Lake",19,260597
"Floatingstone Lake",20,111004
"Floatingstone Lake",21,114
"Floatingstone Lake",22,4115
"Floatingstone Lake",23,108207
"Floatingstone Lake",24,0
"Fork Lake",20,59916
"Fork Lake",23,166383
"Freeman Lake",22,444553
"Garner Lake",22,2294
"Garner Lake",23,7604
"Garner Lake",24,1453
"Goose Lake",21,855
"Goose Lake",22,0
"Goose Lake",23,5449
"Goose Lake",24,4503
"Gregoire (Willow) Lake",24,7449
"Gull Lake",20,7485
"Gull Lake",21,39275
"Gull Lake",22,21430
"Gull Lake",23,30137
"Gull Lake",24,30604
"Half Moon Lake",21,34420
"Half Moon Lake",22,1290
"Half Moon Lake",23,163740
"Half Moon Lake",24,6818
"Hastings Lake",22,23877
"Hastings Lake",23,705807
"Hastings Lake",24,908432
"Haunted Lake",21,3045
"Haunted Lake",22,2987
"Haunted Lake",23,1285
"Haunted Lake",24,226003
"Hawrelak Lake",21,1356
"Heritage Lake",19,7421
"Hutch Lake",21,47086
"Hutch Lake",22,13839
"Iosegun Lake",20,10251
"Iosegun Lake",21,569
"Iosegun Lake",22,448
"Isle Lake",20,4658
"Isle Lake",21,2958
"Isle Lake",22,11097
"Isle Lake",23,92949
"Isle Lake",24,15716
"Islet Lake",22,166380
"Islet Lake",23,983606
"Islet Lake",24,1141342
"Jackfish Lake (Parkland County)",19,6168
"Kehiwin Lake",22,33026
"Kehiwin Lake",23,20537
"Kehiwin Lake",24,4459
"Lac Cardinal (Bear Lake)",24,442536
"Lac La Biche",19,0
"Lac La Biche",20,2577
"Lac La Biche",21,0
"Lac La Biche",22,1090
"Lac La Biche",23,1392
"Lac La Biche",24,278
"Lac La Nonne",21,9621
"Lac La Nonne",22,1327
"Lac La Nonne",23,28709
"Lac La Nonne",24,3865
"Lac Sante",21,948
"Lac Ste. Anne",21,0
"Lac Ste. Anne",22,27470
"Lac Ste. Anne",23,74381
"Lac Ste. Anne",24,392
"Lake McGregor",21,7529
"Lessard Lake",21,434036
"Lessard Lake",22,9396
"Lessard Lake",23,68512
"Lessard Lake",24,552
"Lesser Slave Lake",21,354503
"Lesser Slave Lake",22,603610
"Lesser Slave Lake",23,60907
"Lesser Slave Lake",24,3768
"Long Lake",21,0
"Long Lake",22,1347
"Long Lake",23,3563
"Long Lake",24,377
"Lower Thérien Lake",21,8885
"Lower Thérien Lake",22,0
"Lower Thérien Lake",23,87630
"McLeod (Carson) Lake",20,69195
"Milk River Ridge Reservoir",20,72596
"Milk River Ridge Reservoir",21,0
"Milk River Ridge Reservoir",22,0
"Milk River Ridge Reservoir",23,0
"Minnie Lake",19,231667
"Miquelon Lake",23,35448
"Moonshine (Mirage) Lake",20,6514
"Moonshine (Mirage) Lake",21,199
"Moonshine (Mirage) Lake",22,0
"Moonshine (Mirage) Lake",23,944
"Moonshine (Mirage) Lake",24,2534
"Moose Lake",19,15688
"Moose Lake",20,127791
"Moose Lake",21,39910
"Moose Lake",22,9200
"Moose Lake",23,51977
"Moose Lake",24,21324
"Muriel Lake",23,265997
"Nakamun Lake",21,7387
"North Buck Lake",24,10823
"Paddle River Reservoir",21,48616147
"Paddle River Reservoir",22,0
"Paddle River Reservoir",23,14794
"Paddle River Reservoir",24,741
"Pigeon Lake",19,0
"Pigeon Lake",20,15385
"Pigeon Lake",21,584
"Pigeon Lake",22,0
"Pigeon Lake",23,1082
"Pigeon Lake",24,9899
"Pine Lake",20,27252
"Pine Lake",21,645
"Pine Lake",22,0
"Pine Lake",23,11656
"Pine Lake",24,5661
"Shiningbank Lake",22,0
"Shiningbank Lake",23,4350
"Shiningbank Lake",24,1274
"Shorncliffe Lake",23,6146
"Skeleton Lake",21,14458
"Skeleton Lake",22,308684
"Skeleton Lake",23,576479
"Skeleton Lake",24,386205
"Steele (Cross) Lake",21,3085
"Steele (Cross) Lake",22,0
"Steele (Cross) Lake",23,30983
"Steele (Cross) Lake",24,453
"Stoney (Siler) Lake",21,38082
"Stoney (Siler) Lake",22,43455
"Stoney (Siler) Lake",23,28765
"Stoney (Siler) Lake",24,0
"Sturgeon Lake",20,233
"Sturgeon Lake",21,7567
"Sturgeon Lake",22,1518
"Sturgeon Lake",23,24000
"Sturgeon Lake",24,1293
"Summerside Residents Association Lake",21,1185
"Summerside Residents Association Lake",22,17404
"Sylvan Lake",20,13721
"Sylvan Lake",21,332
"Sylvan Lake",22,0
"Sylvan Lake",23,7223
"Thunder Lake",21,96229
"Thunder Lake",22,957841
"Thunder Lake",23,925206
"Thunder Lake",24,494688
"Wabamun Lake",19,35269
